Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge
2577,20051001,20230410,34,52.6007,8.8522
2578,20040701,20230410,14,53.9995,11.4341
2595,20040701,20230410,181,49.789,7.4853
2597,19950901,20230410,282,50.224,10.0792
2600,20050301,20230410,193,49.7363,10.1781
2601,19950901,20230410,822,50.2218,8.4469
2618,20041001,20230410,732,50.8458,10.4803
2619,20040911,20230410,447,49.8939,7.1885
2625,20040701,20230410,38,52.739,12.4984
2627,20040701,20230410,128,51.5554,13.8845
2629,20040701,20230410,46,51.7612,6.0954
2638,19950901,20230410,974,48.1054,8.7548
2641,20040901,20230410,90,51.5185,12.9065
2660,20040711,20230410,805,47.5699,11.3006
2662,20061201,20230410,59,52.5233,11.1261
2667,19950901,20230410,92,50.8645,7.1575
2673,20070801,20230410,53,52.1331,11.7757
2677,20061010,20230410,730,48.1413,8.4285
2680,20050601,20230410,289,50.284,10.4456
2689,20041101,20230410,40,53.2279,9.6527
2700,20041201,20230410,416,48.8302,11.4872
2704,20040501,20230410,76,51.7511,12.0094
2708,20060701,20230410,742,47.6652,11.0805
2709,20041101,20230410,230,49.9164,10.2363
2712,19950901,20230410,428,47.6952,9.1307
2718,20021101,20230410,458,51.288,8.7928
2733,20041101,20230410,46,52.7277,13.0121
2734,20060101,20230410,1,54.3237,9.0247
2740,20050501,20230410,897,47.6105,11.6462
2749,20040801,20230410,52,54.0805,11.7425
2750,20051101,20230410,310,50.2524,11.3209
2759,20060110,20230410,873,47.5041,11.2814
2763,20051201,20230406,1,53.5039,7.1217
2779,20041101,20230406,59,53.1486,12.0851
2787,20050101,20230410,354,49.2428,9.6786
2792,20040801,20230410,498,48.3737,10.7604
2794,19950901,20230410,40,52.9362,12.4093
2810,20061201,20230410,150,51.9446,8.7749
2812,19960327,20230410,156,48.3647,7.828
2814,20021101,20230410,687,48.5122,9.7644
2822,20041001,20230410,26,53.6369,9.0979
2839,20061201,20230410,210,51.9262,10.3461
2844,20071001,20230410,9,53.6956,8.6291
2850,20061101,20230410,778,48.1994,9.3327
2856,20040701,20230410,91,51.9173,13.0878
2860,20041201,20230410,371,49.5076,10.7885
2878,20170801,20230410,117,51.3909,11.8786
2880,20050711,20230410,319,49.5522,9.6345
2884,20100101,20230410,310,49.5042,11.2736
2885,20060104,20230410,430,47.9522,12.8978
2890,20060901,20230410,306,51.5957,10.463
2900,20071201,20230410,208,49.709,8.6908
2907,19990201,20230410,7,54.7903,8.9514
2925,19950901,20230410,356,51.3932,10.3123
2928,19970407,20230410,138,51.3151,12.4462
2932,19950901,20230410,131,51.4347,12.2396
2947,20061001,20230410,286,51.1333,8.0348
2951,20040601,20230410,20,53.1007,11.4864
2953,20070401,20230410,854,47.8597,8.2308
2958,20041001,20230410,204,51.0265,14.9357
2968,20081201,20230410,43,50.9894,6.9777
2985,19950901,20230410,321,50.9383,14.2094
2988,20040701,20230410,162,51.4882,9.2493
2992,20041101,20230410,495,50.5275,11.6605
2997,20040701,20230410,50,51.9861,14.3044
2999,20040701,20230410,55,52.1211,7.8699
3012,20041105,20230410,750,49.0315,13.3272
3015,19950901,20230410,98,52.2085,14.118
3024,20040911,20230410,485,50.094,7.5675
3028,19950901,20230410,157,51.7854,8.8388
3031,20040701,20230410,92,51.6336,8.3945
3032,19951130,20230410,25,55.011,8.4125
3034,20070101,20230410,496,50.4505,11.635
3042,20080601,20230410,230,50.5617,8.2386
3080,20041001,20230410,521,50.5131,11.3664
3081,20071201,20230410,65,52.3452,8.6477
3083,20050101,20230410,57,51.9267,13.8797
3086,19960626,20230410,15,53.8025,10.6989
3093,19950901,20230410,16,52.9724,11.1374
3094,20061101,20230410,166,51.3122,14.0499
3098,19950901,20230410,387,51.2452,7.6425
3121,20040901,20230410,677,49.9113,12.5276
3126,19950901,20230410,79,52.1029,11.5827
3136,20021101,20230410,102,50.1294,8.8209
3137,20080501,20230410,195,49.9656,8.2139
3146,20041101,20230410,31,53.2141,11.3686
3147,20130901,20230410,390,48.7548,12.2118
3153,20041001,20230410,449,48.6189,12.6233
3155,20040801,20230410,413,50.1015,6.8009
3158,19950901,20230410,12,52.5468,14.5453
3164,20060701,20230410,187,50.8492,8.7745
3166,19950901,20230410,639,50.6511,13.1469
3167,19990527,20230410,547,50.6621,7.9603
3175,20061101,20230410,504,50.5219,12.8282
3179,20040801,20230410,320,49.666,10.3851
3190,20041004,20230410,790,47.7196,10.6433
3192,20050301,20230410,506,47.7046,13.0372
3196,19950901,20230410,81,53.3222,11.9321
3204,20080701,20230410,429,50.7335,10.8815
3205,20050801,20230410,33,52.6579,13.179
3207,20041201,20230410,328,50.1798,10.272
3215,20070601,20230410,375,51.1683,8.7125
3217,20060801,20230410,22,54.8373,9.1481
3220,20060109,20230410,450,50.3571,10.8832
