Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge
4931,19880101,20230409,371,48.6883,9.2235
4978,20021101,20230409,395,50.639,10.0228
4997,20050301,20230409,196,50.9771,12.3419
5009,19730101,20230409,33,53.761,12.5574
5014,20040701,20230409,7,53.2758,8.9857
5017,20051101,20230409,633,50.4002,11.3888
5029,19750515,20230409,387,49.4737,7.0385
5046,20080301,20230409,501,49.8576,12.3542
5064,20041201,20230409,37,51.2897,6.4437
5097,20050101,20230409,10,54.0654,12.7655
5099,20080601,20230409,132,49.7326,6.6131
5100,19410101,20230409,261,49.7479,6.6583
5109,20020101,20230409,68,53.5998,13.3039
5111,20060401,20230409,560,48.0311,12.5396
5133,20040901,20230409,295,51.3344,8.9132
5142,19510101,20230409,1,53.7445,14.0698
5146,20040601,20230409,50,52.9414,10.5289
5149,20050101,20221004,318,49.5679,10.1969
5158,19890101,20230409,159,52.1601,11.1759
5229,20040801,20230409,719,48.0453,8.4608
5275,20040601,20230409,105,49.2445,8.5374
5279,20040901,20230409,176,51.6194,9.5749
5280,20070301,20230409,33,53.9224,10.2267
5300,20040701,20230409,380,50.2596,8.3607
5335,20060801,20230409,352,50.8963,10.5483
5347,20010402,20230409,236,51.5039,9.1118
5349,19810101,20230409,73,53.5196,12.6654
5371,19480101,20230409,920,50.4973,9.9427
5397,19510101,20230409,440,49.6662,12.1844
5404,19750101,20230409,477,48.4024,11.6946
5424,20070601,20230409,328,51.0177,11.3544
5426,19540101,20230409,553,49.3758,8.1212
5433,20040901,20230409,380,49.5534,6.812
5440,19550101,20230409,439,49.0115,10.9308
5480,20030910,20230409,85,51.5763,7.8879
5490,19510101,20230409,233,51.8454,10.7686
5516,19960531,20230409,3,54.5283,11.0606
5538,20050101,20230409,551,47.8827,11.1576
5541,20040801,20230409,263,50.1321,8.3169
5546,19860701,20230409,187,52.1206,12.4586
5562,20040601,20230409,571,48.6516,8.6801
5629,19510101,20230409,105,51.8891,12.6446
5643,20041101,20230409,68,53.1864,12.4949
5664,20040701,20230409,296,48.2953,8.2391
5676,20100901,20230409,82,52.3962,10.6892
5688,20181101,20230409,881,47.7004,8.1057
5692,20040901,20230409,88,49.6051,8.3659
5705,19480101,20230409,268,49.7704,9.9576
