,accidents
1585,-0.306324172236198
2736,-0.2371026526775934
3466,-0.2371026526775934
1257,2.7061125654622176
344,-0.306324172236198
3265,-0.2371026526775934
860,2.7061125654622176
3695,-0.2371026526775934
2427,-0.2371026526775934
505,-0.306324172236198
234,-0.306324172236198
3825,-0.2371026526775934
323,-0.306324172236198
3612,-0.2371026526775934
1316,-0.306324172236198
3603,-0.2371026526775934
2160,-0.2371026526775934
2386,-0.2371026526775934
2536,-0.2371026526775934
3530,-0.2371026526775934
3028,-0.2371026526775934
2572,-0.2371026526775934
1042,-0.306324172236198
3338,-0.2371026526775934
794,-0.306324172236198
847,-0.306324172236198
3086,-0.2371026526775934
3724,-0.2371026526775934
0,-0.306324172236198
3568,-0.2371026526775934
845,-0.306324172236198
59,-0.306324172236198
1913,-0.306324172236198
2116,-0.2371026526775934
126,-0.306324172236198
266,-0.306324172236198
127,2.7061125654622176
875,-0.306324172236198
318,2.7061125654622176
2030,-0.2371026526775934
3448,-0.2371026526775934
3172,-0.2371026526775934
104,2.7061125654622176
613,-0.306324172236198
489,-0.306324172236198
1790,-0.306324172236198
345,-0.306324172236198
2935,-0.2371026526775934
3609,-0.2371026526775934
3387,-0.2371026526775934
2590,-0.2371026526775934
1599,-0.306324172236198
315,-0.306324172236198
1718,-0.306324172236198
2982,-0.2371026526775934
1745,-0.306324172236198
1396,-0.306324172236198
2996,-0.2371026526775934
474,-0.306324172236198
698,-0.306324172236198
3510,-0.2371026526775934
3068,-0.2371026526775934
3605,-0.2371026526775934
1024,-0.306324172236198
1884,-0.306324172236198
1649,-0.306324172236198
3783,3.9929765313757546
1016,-0.306324172236198
2071,-0.2371026526775934
3394,-0.2371026526775934
3049,-0.2371026526775934
43,-0.306324172236198
2616,-0.2371026526775934
2860,-0.2371026526775934
913,-0.306324172236198
3577,-0.2371026526775934
183,-0.306324172236198
3619,-0.2371026526775934
3268,-0.2371026526775934
2483,-0.2371026526775934
543,5.718549303160633
996,-0.306324172236198
1303,-0.306324172236198
3716,-0.2371026526775934
3518,-0.2371026526775934
2943,-0.2371026526775934
2000,-0.306324172236198
774,-0.306324172236198
2052,-0.2371026526775934
1592,-0.306324172236198
278,2.7061125654622176
120,-0.306324172236198
2462,-0.2371026526775934
3611,-0.2371026526775934
1324,-0.306324172236198
383,-0.306324172236198
2433,-0.2371026526775934
961,-0.306324172236198
3117,-0.2371026526775934
2405,-0.2371026526775934
507,-0.306324172236198
3351,-0.2371026526775934
772,-0.306324172236198
374,-0.306324172236198
404,-0.306324172236198
3059,-0.2371026526775934
795,-0.306324172236198
3096,-0.2371026526775934
3051,-0.2371026526775934
3233,-0.2371026526775934
2477,-0.2371026526775934
628,-0.306324172236198
3029,-0.2371026526775934
681,-0.306324172236198
1921,-0.306324172236198
208,-0.306324172236198
3772,-0.2371026526775934
457,-0.306324172236198
2871,-0.2371026526775934
